 NS,EW,UD
-1.718,-3.844,46.274
-1.431,-7.492,60.383
-3.829,3.026,62.277
0.694,8.157,52.912
4.802,8.662,36.571
0.103,4.76,12.86
-0.729,2.263,-19.302
-6.593,7.68,-52.236
-7.06,9.882,-70.536
-4.594,8.694,-63.456
6.266,1.824,-40.82
16.737,-11.136,-23.945
19.27,-15.776,-13.809
13.195,-8.745,-1.122
3.109,-3.791,4.6
-7.924,-11.45,15.615
-15.051,-17.363,32.926
-13.005,-16.156,47.816
-8.568,-9.353,49.503
-4.956,3.081,41.28
-5.248,10.617,31.483
-11.453,25.407,10.082
-13.662,27.694,-13.272
-8.886,17.483,-30.552
-3.084,7.355,-43.754
7.867,1.224,-53.295
19.586,-3.448,-51.291
20.052,-7.093,-43
26.904,-11.25,-29.884
30.039,-16.163,-6.58
14.203,-13.568,8.276
-8.031,-13.05,29.022
-26.101,-7.585,38.599
-35.334,9.603,31.189
-24.659,17.032,32.173
-12.573,16.943,46.953
-10.784,15.967,48.073
-7.827,14.604,35.399
-5.275,16.922,13.435
0.042,0.207,-8.467
15.758,-26.158,-20.913
30.328,-37.746,-26.555
39.998,-35.535,-27.93
39.836,-22.043,-26.632
25.429,1.121,-34.626
11.207,14.477,-29.385
-0.694,13.99,-22.222
-18.293,13.82,-19.601
-29.424,16.327,-9.959
-31.287,17.931,3.856
-30.198,16.684,15.755
-25.831,12.614,27.153
-12.608,-4.957,40.007
-3.437,-22.214,40.423
2.448,-26.266,27.19
7.274,-15.293,4.591
12.333,-6.141,-11.222
19.646,-1.397,-12.716
27.062,-1.632,-5.283
22.262,7.877,-15.279
8.779,25.831,-32.847
-5.343,33.649,-42.742
-12.003,22.06,-41.574
-9.357,4.216,-24.064
-5.002,-8.765,3.267
-0.302,-15.646,23.305
1.373,-21.673,27.179
-2.896,-16.154,26.41
-9.423,-13.154,30.878
-8.278,-17.879,30.267
-7.013,-17.978,24.878
-8.049,-3.441,9.277
-8.423,23.485,-2.295
-8.769,34.337,-7.347
-3.989,26.837,-9.404
7.103,9.339,-6.882
14.602,-1.989,-18.359
11.936,-2.666,-27.962
6.809,-3.628,-23.962
8.3,-9.635,-14.634
14.453,-17.367,0.679
22.11,-22.222,11.099
19.843,-19.589,22.347
8.271,-8.161,19.862
-2.976,1.31,12.153
-18.188,5.899,4.385
-26.936,6.141,0.453
-20.277,1.206,-12.45
-13.753,0.744,-23.592
-12.715,7.064,-15.777
-10.923,11.792,2.871
-7.145,6.184,17.029
-1.012,0.566,15.733
8.891,-6.247,12.994
8.301,-9.536,15.408
5.422,-6.126,13.525
8.65,-4.004,11.452
12.094,8.878,-2.017
15.552,19.89,-12.117
19.564,19.911,-9.927
20.178,9.652,-6.166
12.377,6.926,-9.252
3.263,7.425,-13.104
-3.495,2.897,-22.037
-10.451,3.714,-19.096
-9.577,2.456,-5.251
-6.497,-6.058,1.436
-11.12,-6.008,-3.583
-14.851,-1.744,-20.507
-9.024,-0.587,-33.02
-8.801,-2.797,-26.123
-9.971,-5.667,-3.542
-9.686,-4.09,9.942
-7.714,-2.014,10.496
-3.193,0.104,18.78
4.141,-11.72,46.251
2.439,-15.309,69.112
1.405,-1.424,67.943
5.072,11.038,47.343
6.869,9.301,18.696
11.568,-9.491,-0.149
8.252,-24.229,-18.192
4.341,-25.387,-35.522
2.162,-18.639,-34.069
3.14,-13.366,-18.515
7.053,-6.925,-8.217
6.612,-4.876,-12.428
7.325,-9.238,-18.288
8.256,-17.526,-22.272
2.229,-12.584,-21.286
-8.059,-0.591,-20.755
-14.327,11.035,-3.28
-12.356,9.166,33.551
-3.757,-3.344,66.663
9.031,-13.592,69.64
7.848,-8.953,50.281
-4.364,15.274,16.86
-17.534,30.193,-26.469
-24.458,15.505,-51.491
-22.101,-12.803,-63.783
-18.199,-22.258,-78.16
-24.845,-21.246,-92.639
-43.268,-18.687,-97.096
-57.711,-22.663,-81.385
-58.516,-22.047,-47.673
-48.189,-25.781,-8.846
-34.864,-26.572,25.349
-26.09,-12.011,46.311
-13.228,14.249,66.674
-3.585,26.636,84.812
5.375,9.862,88.493
10.204,-20.465,76.303
10.998,-51.789,53.63
6.166,-89.831,29.135
1.45,-126.141,13.434
2.604,-149.38,0.81
11.292,-161.964,-2.743
25.216,-168.807,5.404
46.971,-166.668,4.473
66.673,-151.109,11.513
78.224,-98.853,20.538
83.245,-25.651,32.236
85.216,66.224,45.276
87.504,159.368,52.966
82.644,248.048,51.692
60.863,286.512,42.198
56.151,309.744,12.307
44.55,338.269,-38.269
17.925,350.21,-97.789
-11.479,333.115,-113.811
-48.928,290.904,-158.616
-67.986,216.226,-188.761
-87.208,95.49,-144.775
-82.865,-2.25,-139.541
-43.112,-62.216,-101.678
-7.41,-109.933,-66.519
8.733,-119.802,-22.006
3.191,-98.895,5.829
-34.513,-62.479,24.395
-92.797,32.71,48.011
-173.536,131.953,67.628
-221.026,193.144,63.523
-242.977,203.488,106.005
-235.854,162.545,161.135
-211.202,79.992,189.871
-165.068,15.09,213.3
-108.839,-21.543,191.553
-61.34,-46.605,165.83
-34.536,-60.863,133.52
-2.671,-103.385,105.189
61.659,-185.857,72.309
150.709,-331.03,34.097
186.906,-337.333,-1.235
174.255,-232.651,-42.201
166.232,-181.514,-119.301
168.618,-134.306,-181.787
168.763,-99.471,-225.803
170.364,-96.084,-232.53
153.987,-74.834,-235.453
145.908,-72.762,-214.668
147.375,-72.624,-221.893
158.409,-105.567,-215.327
161.192,-144.935,-145.109
164.701,-176.124,-72.891
171.488,-195.964,16.329
162.06,-203.701,76.841
132.356,-199.245,125.06
110.22,-181.674,142.225
88.704,-156.502,145.377
80.746,-125.048,150.116
79.413,-90.394,174.622
62.123,-42.908,192.778
33.531,13.992,205.183
-8.428,91.156,199.432
-61.499,155.098,166.484
-118.247,213.939,122.514
-154.461,223.854,83.855
-173.549,199.499,33.391
-171.694,189.683,-14.338
-157.094,173.926,-44.702
-140.481,160.854,-92.665
-119.087,165.604,-132.161
-98.695,168.667,-148.897
-81.975,157.584,-148.253
-85.699,154.413,-139.586
-104.756,171.331,-142.915
-127.452,189.843,-157.149
-159.474,210.438,-170.664
-192.033,224.694,-174.125
-202.014,226.847,-151.438
-183.088,211.029,-120.12
-139.753,204.006,-85.388
-89.943,194.137,-24.407
-57.459,171.497,51.644
-36.742,138.693,124.884
-28.629,101.055,175.012
-26.95,72.795,202.223
-21.954,44.204,211.14
-17.742,3.474,196.35
-14.249,-44.953,176.228
-13.855,-109.562,142.115
2.376,-210.487,108.964
40.454,-317.044,88.92
81.678,-376.719,66.875
80.465,-364.696,60.641
60.85,-291.126,34.469
18.175,-186.006,-28.157
8.653,-118.37,-93.29
32.01,-106.494,-128.753
68.77,-132.466,-151.366
112.489,-161.396,-156.264
161.945,-177.452,-140.154
208.57,-185.301,-151.653
239.302,-187.584,-136.273
255.203,-179.362,-76.387
261.697,-161.09,-32.772
252.354,-140.378,2.529
232.859,-127.041,21.439
213.636,-126.78,28.557
202.385,-134.187,35.971
186.917,-136.285,43.499
160.516,-132.519,48.719
124.052,-118.591,66.202
85.325,-95.195,84.764
45.235,-55.997,83.941
-0.85,-10.043,53.988
-55.658,45.513,30.015
-115.086,108.471,-0.317
-176.781,181.091,-32.882
-219.708,234.183,-41.571
-235.01,267.801,-31.242
-227.91,276.857,-39.432
-206.058,284.968,-32.787
-199.54,294.394,-9.423
-185.901,298.265,-5.898
-179.941,300.505,-15.029
-174.946,280.105,-20.738
-163.597,238.552,-20.496
-152.284,186.352,-16.761
-152.403,152.216,-11.734
-160.333,131.938,-10.733
-155.001,119.407,-4.042
-147.624,116.535,5.895
-135.747,118.401,26.137
-122.946,119.495,41.654
-107.515,120.087,51.94
-92.163,121.317,62.102
-82.459,114.214,51.351
-61.867,106.688,44.155
-43.544,80.44,26.104
-19.098,47.655,17.898
2.499,-2.07,2.597
28.562,-63.836,-8.128
52.951,-126.173,1.253
96.452,-189.657,-3.941
136.357,-251.153,-6.084
164.211,-280.03,-1.203
195.231,-301.992,-4.189
210.798,-291.971,-13.234
205.441,-263.464,-23.55
199.305,-239.854,-17.353
196.842,-232.024,-23.998
187.563,-223.088,-36.673
172.506,-204.004,-36.403
153.396,-169.557,-26.734
136.884,-142.244,-16.496
125.523,-130.176,-3.615
119.069,-121.489,6.026
110.438,-119.798,13.67
98.752,-111.798,5.408
82.801,-107.226,-2.636
66.911,-100.281,-7.64
53.909,-99.142,-17.772
45.096,-99.296,-24.883
36.266,-87.504,-23.131
18.685,-54.255,-11.197
-2.098,-12.629,-3.662
-25.364,28.167,7.381
-43.104,71.711,20.232
-62.215,113.867,5.262
-68.082,130.99,-10.175
-91.522,143.388,-25.796
-83.291,148.071,-5.769
-105.271,162.084,7.519
-117.921,176.03,11.222
-137.938,191.987,15.128
-153.125,206.623,7.73
-163.162,217.302,3.526
-164.73,220.211,3.792
-160.399,215.799,2.222
-151.625,195.508,4.298
-134.981,172.334,9.515
-117.428,157.487,18.956
-99.447,145.379,27.706
-86.696,135.908,26.993
-78.224,124.128,27.08
-72.231,115.941,23.186
-70.401,109.549,17.064
-69.651,101.089,7.539
-70.023,90.877,-2.116
-67.122,73.72,-4.951
-58.245,54.853,-8.579
-49.031,26.579,-13.412
-30.072,-14.908,-11.946
-10.059,-58.474,-9.253
13.84,-100.643,-1.79
43.387,-138.837,8.756
75.703,-177.633,11.669
113.387,-196.67,12.684
135.842,-191.609,6.814
146.041,-172.58,9.567
153.421,-159.494,13.332
157.601,-142.083,15.577
159.585,-133.227,9.809
161.63,-127.442,-11.569
157.107,-117.664,-21.229
146.387,-103.403,-22.831
135.964,-98.452,-31.907
132.167,-101.455,-38.707
125.627,-108.64,-38.127
122.127,-112.901,-34.343
115.632,-115.791,-34.288
105.913,-118.748,-32.023
96.636,-119.573,-26.915
82.532,-114.407,-21.246
65.793,-105.065,-18.517
40.37,-86.499,-0.976
10.229,-59.868,17.053
-17.101,-33.247,28.136
-48.385,-3.826,23.577
-65.888,23.782,10.794
-101.966,57.591,4.368
-117.987,85.054,10.496
-137.028,107.404,21.058
-153.429,123.319,25.354
-164.66,133.634,35.781
-172.646,140.945,43.704
-173.656,144.993,45.62
-164.53,147.13,39.307
-147.905,145.585,32.234
-127.383,142.453,19.711
-104.968,138.138,6.703
-84.32,132.552,-2.923
-68.969,127.642,-10.514
-55.018,123.214,-16.632
-46.487,117.716,-22.102
-39.831,111.942,-29.644
-34.437,106.566,-29.796
-26.214,99.523,-29.277
-16.638,88.117,-31.002
-8.378,73.242,-27.831
1.804,57.992,-22.429
13.13,41.94,-14.766
25.122,21.541,-5.473
38.497,1.996,2.259
53.125,-21.039,12.197
68.103,-46.942,13.87
79.871,-73.875,14.883
91.114,-99.772,15.026
96.48,-114.95,12.817
98.729,-122.208,9.954
96.345,-122.767,7.296
92.721,-118.504,6.483
88.35,-113.982,6.66
84.958,-109.32,8.842
80.95,-104.033,7.905
75.969,-101.106,-0.606
69.5,-100.559,-9.567
63.266,-103.279,-17.426
54.863,-103.875,-17.681
44.678,-97.032,-18.214
35.554,-85.982,-15.896
26.31,-70.203,-14.292
17.456,-56.646,-11.498
11.424,-49.524,-9.871
7.118,-48.562,-7.203
4.729,-51.679,-6.009
-1.566,-53.853,-3.565
-9.155,-50.563,1.477
-16.862,-42.56,6.187
-25.366,-28.236,14.075
-32.559,-11.305,20.56
-38.284,9.005,21.368
-45.689,29.95,14.399
-52.975,52.138,9.366
-62.519,73.576,7.051
-68.925,89.655,3.123
-75.952,102.516,2.772
-80.761,110.549,2.419
-83.108,114.643,4.197
-81.6,116.439,5.162
-74.706,114.795,6.188
-62.495,109.538,6.295
-50.149,101.668,3.382
-38.634,94.206,1.167
-31.837,90.472,-1.822
-30.014,89.104,-6.96
-29.541,87.202,-11.172
-29.363,86.389,-14.999
-28.824,82.057,-16.174
-27.294,77.302,-13.876
-24.733,72.036,-11.903
-21.574,66.51,-6.408
-17.007,58.149,-2.943
-9.605,46.503,-0.469
-2.5,35.202,2.914
6.437,21.085,3.239
16.325,3.219,-0.078
27.811,-18.225,-0.79
40.165,-42.757,1.239
52.301,-67.312,8.013
63.202,-89.945,15.426
71.052,-109.653,19.972
76.115,-123.089,23.042
76.329,-128.391,21.145
74.315,-129.986,17.993
69.23,-126.106,12.705
63.669,-117.242,5.835
55.271,-104.573,-0.458
47.543,-90.151,-6.292
42.582,-78.871,-13.049
36.483,-65.16,-17.791
31.286,-55.813,-18.4
28.212,-49.186,-16.912
27.477,-46.907,-14.687
23.997,-43.178,-10.148
21.237,-38.535,-9.716
15.812,-34.526,-6.674
11.833,-30.228,-6.906
11.779,-27.609,-6.547
11.77,-24.319,-1.743
10.647,-19.884,1.982
7.645,-12.262,6.286
3.537,0.21,9.56
0.329,12.324,12.414
-6.949,27.364,12.615
-14.271,40.187,4.679
-24.609,50.441,0.555
-33.61,58.147,1.17
-43.627,63.263,1.509
-52.317,66.597,-2.454
-58.051,69.447,-8.355
-61.153,71.299,-12.485
-59.882,72.13,-12.277
-55.531,72.115,-7.87
-52.201,66.02,-2.992
-49.52,60.647,-2.224
-52.647,60.64,-4.155
-58.334,62.424,-0.823
-61.33,63.332,6.733
-60.246,62.615,12.844
-55.883,58.503,17.265
-50.438,55.005,17.059
-44.667,51.591,18.768
-39.102,48.957,18.58
-32.66,43.864,15.071
-25.364,37.089,9.708
-17.807,28.157,2.905
-10.695,16.005,-2.432
-1.179,1.103,-6.244
9.247,-14.136,-6.199
20.953,-28.57,-4.947
33.093,-42.942,-3.29
44.589,-52.789,-4.458
54.322,-60.353,-6.282
61.833,-65.73,-7.584
66.956,-69.705,-9.15
69.839,-72.118,-7.991
70.597,-72.514,-9.894
68.883,-70.315,-12.808
60.855,-60.449,-14.542
52.683,-50.084,-12.248
47.81,-46.529,-9.122
45.151,-45.217,-6.205
42.264,-43.014,-3.877
38.792,-40.248,-1.272
34.638,-34.858,-0.407
30.402,-28.973,2.405
25.598,-21.842,4.749
21.151,-15.817,7.215
15.682,-12.516,9.731
11.204,-9.325,8.505
3.782,-5.951,6.974
-4.811,-1.751,6.711
-14.6,3.34,4.648
-24.622,8.433,0.895
-34.286,14.906,-3.78
-41.464,20.239,-7.257
-46.642,25.211,-7.913
-50.222,31.164,-5.477
-52.519,35.786,-3.492
-53.657,37.994,-3.433
-53.366,37.733,-5.216
-51.58,33.334,-4.457
-49.033,29.442,0.731
-43.006,25.138,5.882
-34.905,20.74,8.087
-27.592,18.918,8.493
-21.643,19.398,8.618
-16.108,20.044,10.124
-10.627,20.248,10.326
-5.704,20.88,11.371
-0.034,22.304,10.45
5.051,24.206,7.757
10.264,22.418,6.698
15.38,18.48,4.955
19.073,12.539,0.999
20.766,5.885,-3.294
21.676,1.08,-6.076
24.067,-1.685,-7.953
27.388,-2.919,-6.24
30.992,-2.697,-4.593
34.245,-1.894,-3.736
36.981,-2.61,-4.041
38.884,-5.262,-3.639
38.904,-7.837,-4.51
35.479,-11.414,-6.165
29.568,-15.275,-7.817
24.628,-19.785,-7.552
20.246,-25.034,-4.96
15.246,-28.618,-3.552
9.532,-30.41,-2.163
3.787,-28.908,-3.588
-2.522,-25.49,-1.928
-8.04,-20.262,2.618
-11.857,-15.476,5.897
-16.4,-10.796,7.055
-20.922,-6.066,7.443
-22.621,-3.832,9.903
-22.048,-4.622,14.359
-21.743,-5.614,16.143
-21.319,-4.806,14.738
-20.715,-2.504,12.781
-18.809,0.255,9.298
-14.355,1.614,3.866
-9.688,1.496,-2.649
-5.635,3.064,-7.685
-1.987,6.46,-8.787
2.441,9.997,-8.814
6.354,12.487,-7.263
8.927,14.841,-8.309
10.176,16.199,-11.272
11.748,16.473,-13.887
14.134,13.926,-15.239
15.347,9.41,-14.882
13.66,5.817,-11.363
9.622,2.573,-8.035
5.839,0.811,-4.67
2.095,0.89,-2.74
-1.997,1.564,-2.388
-7.448,2.796,-0.932
-12.013,5.392,0.58
-15.293,8.222,1.332
-17.077,10.58,2.631
-18.292,11.557,4.554
-19.291,11.183,8.889
-19.733,6.721,14.108
-20.205,-0.559,15.533
-22.462,-6.893,12.522
-25.106,-9.43,9.746
-27.327,-8.158,5.886
-26.985,-6.102,3.106
-23.735,-4,0.54
-18.938,-1.113,-0.964
-14.321,1.592,-0.54
-10.638,3.441,-0.607
-6.602,2.782,-0.262
-1.936,-0.142,-0.381
3.226,-4.921,-0.867
8.458,-9.782,-0.688
14.115,-13.67,-1.295
20.001,-16.715,-2.368
25.553,-17.73,-4.866
30.164,-16.778,-7.379
33.635,-14.506,-8.785
36.427,-12.552,-8.756
37.096,-9.876,-10.464
33.847,-5.927,-11.15
28.884,-1.509,-10.575
25.422,1.578,-8.745
24.021,1.512,-5.841
23.663,0.431,-2.7
22.147,-0.601,2.005
18.853,-0.238,5.39
13.586,1.718,6.048
7.809,5.01,5.827
2.525,8.378,6.2
-2.614,11.281,6.648
-7.572,13.683,6.929
-12.573,15.706,8.309
-17.265,15.998,10.492
-20.625,15.377,10.665
-23.997,15.383,8.601
-26.2,14.957,5.742
-25.735,12.624,4.799
-24.05,9.112,4.848
-21.084,3.409,5.359
-18.016,-2.757,4.644
-16.184,-6.132,2.291
-14.521,-6.496,-0.828
-12.037,-5.949,-3.526
-10.361,-3.633,-4.407
-9.535,0.34,-5.419
-8.834,3.98,-5.076
-7.719,5.691,-3.992
-6.768,5.126,-3.029
-5.004,2.378,-2.478
-3.088,-1.243,-0.915
0.086,-4.632,1.187
3.771,-6.568,3.078
7.285,-6.63,2.471
10.776,-4.736,-0.65
14.666,-2.343,-4.133
18.832,-1.667,-5.437
22.369,-3.078,-4.974
23.115,-4.341,-3.757
20.842,-4.575,-3.019
15.591,-2.335,-4.705
11.413,-1.874,-6.523
9.44,-5.247,-5.209
8.653,-10.125,-1.008
7.655,-12.553,1.761
6.223,-11.788,1.064
5.333,-10.514,-1.676
4.334,-9.511,-2.325
2.537,-8.843,0.347
-0.383,-8.358,3.184
-5.002,-8.321,3.74
-9.434,-7.951,2.394
-14.41,-6.352,1.15
-16.548,-5.92,1.992
-16.019,-6.06,3.698
-14.269,-4.913,4.782
-13.169,-1.296,4.51
-13.999,5.324,3.422
-14.944,11.098,2.24
-14.867,13.317,1.566
-14.517,13.142,1.654
-12.706,12.446,2.685
-10.172,12.17,3.497
-8.009,11.551,3.232
-6.377,11.825,1.494
-3.623,11.235,-0.537
-0.371,9.745,-1
3.37,8.814,-1.963
6.389,8.212,-2.505
7.184,7.879,-2.985
6.693,8.388,-4.557
7.072,7.901,-5.802
7.505,5.453,-5.928
7.077,2.893,-4.495
7.012,1.507,-2.266
7.028,0.897,1.353
7.898,1.235,3.977
10.403,1.104,5.645
13.111,0.209,7.259
15.341,0.014,7.408
16.018,-0.801,5.845
14.642,-1.272,3.105
12.072,-0.815,1.115
9.788,0.422,-0.317
8.281,0.915,-2.603
8.274,-0.728,-4.709
7.991,-3.786,-7.682
4.94,-5.657,-10.386
-0.256,-6.126,-11.31
-4.587,-7.428,-11.321
-7.033,-9.758,-10.703
-8.687,-11.818,-8.386
-9.065,-13.021,-5.576
-8.954,-13.617,-1.459
-8.658,-12.606,2.875
-7.748,-10.557,5.086
-6.86,-7.606,7.296
-6.406,-4.362,9.6
-5.383,-3.219,10.352
-5.41,-4.362,9.643
-6.194,-7.365,7.079
-6.466,-10.596,5.933
-5.68,-12.842,5.897
-4.428,-12.391,4.501
-3.338,-8.254,4.387
-2.612,-1.161,4.696
-0.891,5.844,4.006
1.341,10.816,2.871
3.148,14.245,0.196
4.095,16.411,-1.531
4.177,17.099,-1.991
3.489,16.391,-3.171
2.951,13.896,-3.791
2.722,9.646,-4.834
2.524,6.419,-6.645
3.6,4.475,-7.815
5.456,3.701,-8.562
7.502,4.52,-8.646
9.323,6.138,-7.753
9.961,7.294,-6.818
9.199,6.915,-6.301
6.592,5.733,-5.723
2.037,5.474,-5.063
-3.506,5.148,-2.721
-7.162,3.231,-0.309
-8.18,-0.107,0.409
-6.539,-3.939,3.363
-4.361,-6.362,7.812
-3.785,-6.696,11.293
-4.651,-5.414,12.131
-5.777,-2.12,10.032
-6.184,1.53,8.519
-6.542,3.502,9.183
-7.958,2.589,9.016
-9.542,0.079,6.529
-10.518,-2.714,3.221
-10.867,-4.238,0.057
-10.025,-5.074,-2.25
-8.628,-5.771,-1.97
-6.673,-5.209,-1.637
-3.336,-3.265,-2.676
1.226,-1.103,-5.874
5.245,-0.084,-7.906
8.513,-0.945,-8.057
10.04,-3.001,-8.213
10.25,-3.751,-7.868
9.46,-4.103,-6.836
8.081,-4.753,-5.563
5.994,-5.682,-3.97
5.115,-8.484,-2.163
6.027,-12.532,0.198
7.496,-13.31,1.263
9.09,-9.572,1.364
9.95,-3.771,1.018
9.552,1.606,1.213
8.792,4.696,3.604
6.577,6.179,5.669
2.292,6.823,5.24
-2.554,6.863,4.693
-6.796,6.756,4.622
-9.767,7.28,5.095
-10.595,7.345,5.415
-10.261,6.788,3.811
-10.077,6.568,0.012
-9.386,6.757,-4.323
-8.701,7.397,-5.471
-8.432,10.071,-5.399
-7.582,12.067,-5.404
-5.525,11.994,-5.218
-3.394,9.35,-3.802
-0.665,3.942,-1.887
1.364,-1.729,-0.176
2.708,-6.361,0.338
5.119,-9.028,-0.2
8.3,-9.844,-0.005
10.881,-9.441,2.135
11.858,-7.533,2.953
9.755,-4.504,1.823
6.252,-0.972,-0.429
3.83,-0.067,-0.717
2.653,-2.071,-0.543
1.817,-4.344,-0.375
2.345,-6.132,0.887
3.038,-7.28,3.014
3.982,-7.91,5.132
4.756,-8.463,4.964
3.445,-8.548,2.84
0.37,-8.133,0.296
-2.315,-7.937,-2.035
-4.821,-7.685,-3.181
-7.191,-5.867,-4.098
-7.7,-3.221,-3.53
-6.773,0.089,-1.613
-4.878,2.941,1.524
-2.439,4.707,3.941
-0.591,5.246,6.201
-0.359,5.323,8.085
-0.908,4.046,7.769
-1.918,0.758,5.778
-3.239,-2.427,2.782
-3.776,-2.929,-0.502
-3.587,-1.179,-2.003
-3.392,3.106,-2.279
-2.696,8.206,-2.59
-2.703,13.113,-3.195
-3.919,16.601,-4.249
-5.371,17.936,-4.437
-6.56,17.039,-5.023
-7.589,15.433,-5.065
-7.614,14.261,-4.901
-6.9,13.001,-2.299
-5.12,12.357,0.662
-2.794,12.046,2.206
-1.559,10.772,2.213
-2.617,9.27,0.247
-4.08,6.142,-1.386
-5.405,1.48,-3.099
-6.456,-3.38,-3.585
-5.945,-7.646,-2.603
-3.639,-10.812,-1.098
0.207,-11.935,2.061
4.951,-10.579,4.665
8.81,-8.041,5.319
10.964,-5.889,4.91
12.227,-5.701,4.223
13.319,-8.828,3.143
14.286,-14.779,1.113
14.986,-20.465,-0.376
15.774,-24.573,-1.198
16.676,-26.423,-2.246
17.289,-25.948,-1.669
17.379,-22.068,-1.117
16.742,-15.89,-0.68
15.788,-8.438,0.661
14.527,-3.042,1.498
12.67,-1.561,0.329
9.707,-2.016,-1.562
6.044,-2.081,-4.048
2.42,-1.865,-4.746
-0.459,-0.868,-4.188
-2.757,2.002,-2.288
-3.331,5.22,-0.081
-3.842,7.667,2.103
-5.059,9.244,2.566
-7.146,10.84,2.302
-10.317,12.392,0.993
-13.828,14.331,0.253
-16.959,16.658,-0.021
-18.632,18.743,-0.807
-19.379,19.907,-0.493
-20.117,19.545,0.595
-21.22,16.945,1.292
-22.515,13.178,0.494
-22.613,9.94,-0.686
-20.718,7.475,-1.632
-17.798,6.2,-1.312
-15.013,5.931,-0.008
-12.928,7.165,1.581
-11.211,9.44,1.93
-8.751,10.426,1.736
-5.793,8.99,1.594
-2.728,6.222,1.584
0.164,1.921,2.078
3.223,-3.464,3.176
6.119,-8.592,2.761
8.162,-12.622,0.011
10.044,-15.615,-2.844
12.685,-17.75,-4.695
16.417,-18.804,-4.979
20.252,-18.017,-3.662
23.368,-16.182,-2.662
25.926,-14.118,-2.361
26.724,-12.441,-1.87
26.2,-11.134,-0.482
24.323,-9.765,1.128
20.871,-9.581,2.405
17.555,-9.73,1.899
14.708,-9.032,2.362
12.648,-8.27,2.681
10.948,-7.634,1.959
8.937,-7.084,-0.142
6.382,-6.235,-3.145
4.237,-5.063,-3.975
2.27,-3.369,-4.348
-0.224,-1.697,-4.243
-3.21,0.926,-3.088
-5.853,3.872,-0.975
-8.222,6.052,1.185
-11.387,8.173,2.495
-15.06,9.581,3.078
-18.888,10.978,2.615
-23.004,12.824,0.99
-25.726,14.42,0.092
-26.553,15.478,1.306
-26.165,16.155,2.971
-25.027,15.792,3.965
-23.037,13.537,4.372
-21.333,11.202,4.063
-19.78,9.792,3.392
-18.175,10.732,2.636
-15.787,12.497,1.548
-11.799,13.552,0.919
-7.171,13.639,0.925
-2.501,11.807,1.889
1.126,8.615,2.989
3.575,4.756,3.407
5.602,0.744,2.465
7.632,-3.257,0.551
9.836,-6.832,-1.507
12.542,-8.864,-3.222
16.268,-9.311,-4.09
20.262,-8.01,-4.095
23.916,-5.219,-3.822
26.536,-2.732,-2.875
28.115,-2.676,-1.882
27.239,-5.113,-2.405
24.402,-9.465,-4.052
20.654,-14.51,-6.722
16.715,-17.653,-9.672
13.453,-18.778,-10.261
12.308,-19.684,-8.541
12.211,-20.049,-5.167
10.459,-18.234,-0.832
7.837,-15.589,2.95
4.173,-13.028,4.977
-0.804,-11.026,5.375
-6.172,-9.31,5.087
-10.412,-7.677,5.222
-14.057,-6.063,6.803
-17.137,-2.779,7.724
-18.659,0.843,8.02
-18.852,3.925,7.827
-18.999,7.227,6.739
-18.351,9.692,4.615
-17.531,11.033,1.877
-17.103,12.328,-0.22
-16.36,13.808,-2.661
-15.591,14.343,-4.644
-14.333,14.049,-5.085
-12.474,13.058,-3.191
-10.321,11.769,-0.727
-8.105,10.711,0.221
-5.451,9.573,-0.152
-3.011,9.218,-1.262
-1.345,10.13,-2.174
0.718,11.151,-2.889
3.718,11.286,-3.448
6.254,11.003,-3.843
8.334,11.026,-4.127
9.861,10.272,-3.171
10.287,8.088,-2.397
10.501,4.583,-1.856
10.983,-0.24,-0.783
11.007,-5.788,1.052
11.108,-10.437,1.93
11.721,-13.644,1.415
12.614,-14.327,1.386
12.833,-11.202,2.933
11.471,-5.229,4.569
8.565,-2.56,4.631
4.682,-3.284,3.743
0.922,-6.117,2.498
-2.228,-10.578,1.444
-4.23,-15.779,0.825
-4.547,-19.465,0.483
-2.814,-20.4,0.215
-0.036,-19.12,0.149
2.789,-16.5,-0.838
4.488,-13.007,-1.573
3.83,-8.375,-2.958
1.548,-3.843,-5.01
-0.719,-1.46,-7.01
-3.551,-1.065,-6.77
-6.081,-1.088,-4.472
-8.291,-0.048,-2.034
-9.809,1.841,0.555
-9.962,4.401,2.974
-8.939,7.59,3.977
-7.792,11.301,4.348
-6.288,14.727,4.14
-4.65,16.682,2.894
-3.305,16.916,1.604
-2.295,16.044,0.886
-1.928,14.35,0.59
-2.625,13.617,0.608
-3.903,14.238,0.098
-4.413,14.46,-1.066
-3.826,12.81,-2.185
-2.049,10.093,-3.489
0.302,6.608,-4.029
1.787,3.626,-3.835
2.386,2.786,-3.171
2.637,3.344,-1.273
2.74,4.675,0.555
3.441,6.444,2.534
4.988,7.121,4.399
5.903,6.242,5.352
5.593,4.558,4.44
4.634,2.142,2.059
4.121,-1.558,-0.109
4.376,-5.746,-1.86
5.448,-9.801,-3.623
6.465,-13.081,-4.793
6.983,-15.358,-4.556
6.98,-16.548,-3.456
6.297,-17.029,-2.306
5.12,-16.904,-1.29
3.921,-16.416,-0.326
2.704,-15.542,1.371
1.709,-15.038,3.604
0.77,-15.067,5.715
-0.952,-14.158,6.655
-3.016,-12.128,5.856
-4.642,-9.285,4.394
-5.237,-7.282,3.348
-4.68,-5.967,2.563
