 NS,EW,UD
0.001,0.005,0.016
-0.013,-0.01,0.015
0.001,-0.017,0.014
0.007,-0.012,-0.017
-0.004,0.014,0.027
0.014,0.004,-0.013
0.011,-0.017,0.007
0.011,0.017,-0.01
-0.002,0.01,0.002
0.018,-0.021,0.003
-0.009,0.004,-0.021
-0.015,0.003,-0.01
0.01,-0.024,0.015
0.004,0.004,0.018
-0.007,0.002,-0.001
0.024,-0.004,0.005
-0.004,0.014,0
0.017,-0.01,-0.019
0.014,-0.01,-0.011
0.012,0.009,-0.013
0.005,0.021,-0.009
0.014,0.001,-0.004
0.014,-0.01,-0.002
-0.019,-0.009,0.015
-0.011,0.001,-0.001
0.007,-0.022,0.002
-0.028,0.009,-0.009
-0.012,0.019,0.006
0.003,-0.021,-0.006
-0.011,0.007,-0.037
0,-0.006,-0.001
0.005,0.032,0.019
0.008,0.007,-0.008
-0.004,0,-0.032
-0.027,0.006,0.026
-0.006,-0.034,0.004
0,0.008,-0.011
0.012,0,-0.021
-0.003,0.003,0.003
0.001,0.003,0.002
-0.01,-0.018,-0.021
0.022,0.005,0
0.006,-0.006,-0.01
0.01,0.009,0.003
-0.004,-0.012,-0.015
0.006,0.001,0.003
-0.011,0.012,0.019
0.004,0.01,0.023
0.012,-0.004,-0.034
-0.004,-0.012,0.018
-0.003,-0.014,-0.012
0.009,-0.001,0.005
0,-0.006,-0.03
-0.005,-0.006,0.009
-0.002,-0.006,0.018
0.008,0.002,0.002
0.021,0.014,0.014
-0.004,-0.01,0.016
0.022,0.003,-0.015
0.001,-0.004,-0.015
0.008,-0.015,0
-0.004,-0.007,-0.013
0.014,-0.002,-0.021
-0.003,-0.005,-0.017
0.015,-0.006,0.021
-0.003,-0.001,-0.005
0.017,-0.008,0.016
0.008,0.007,-0.028
-0.011,0.012,0.008
-0.002,-0.003,-0.006
-0.01,-0.007,-0.011
-0.006,0.014,-0.013
0.014,-0.006,-0.006
-0.009,0.016,-0.001
0.01,0.004,-0.016
-0.029,0.014,0.021
-0.002,0.039,0.017
-0.004,-0.008,0.032
0.026,0.002,-0.029
0.008,0.021,0.023
-0.006,0.006,-0.006
-0.006,0.007,-0.008
-0.004,0.011,0.011
-0.012,-0.004,0.024
0.001,0.012,0.011
0.002,-0.01,-0.03
0.017,-0.014,-0.001
-0.004,0.014,-0.013
-0.01,-0.024,0.036
-0.008,-0.004,0.005
0.001,0.005,-0.017
0.019,0.005,-0.005
0.023,-0.011,-0.002
-0.016,-0.01,0.009
0.006,0.014,0.016
-0.012,0.006,-0.021
0.004,0.011,0.004
-0.001,0.013,0.008
-0.004,0.003,0.006
0,-0.032,-0.013
-0.014,0.008,-0.019
0.007,0,0.009
0.018,0.014,0.007
0.001,0.003,-0.004
0.003,-0.004,-0.011
-0.018,0.006,-0.015
0.008,0.021,0
-0.005,0.008,0.004
0.005,-0.023,-0.026
0.009,0.018,0.007
-0.023,0.001,-0.039
-0.006,-0.012,-0.001
-0.01,-0.008,-0.008
0.011,0.01,-0.013
-0.007,-0.025,-0.011
0.014,0.005,0.001
0.004,-0.002,-0.006
-0.018,-0.007,-0.012
-0.012,-0.017,0.004
0.012,0.021,-0.009
-0.018,-0.019,0.037
-0.003,0,-0.01
0.021,-0.002,-0.006
-0.013,0.007,0.006
-0.007,-0.003,-0.014
-0.006,0.018,-0.004
0.021,0.004,-0.001
0.01,-0.006,-0.001
-0.01,0,0.01
-0.003,-0.001,-0.009
-0.008,0.008,0.001
0.003,-0.001,0.017
-0.019,-0.004,0.016
-0.002,-0.013,0.019
0.01,-0.016,0.003
-0.022,-0.004,0.009
0,0.004,-0.013
0.02,-0.013,-0.019
0.006,0.014,-0.017
0.016,-0.013,0.021
-0.013,-0.004,0.007
0.026,-0.011,-0.012
-0.006,-0.004,-0.018
-0.014,-0.028,0.013
-0.003,-0.007,-0.025
0.003,-0.026,0.005
-0.004,0.021,-0.008
0.004,-0.027,-0.035
-0.016,-0.014,0.019
-0.024,0,-0.02
-0.019,0.006,0.016
-0.002,0.003,0.025
-0.021,-0.012,-0.013
-0.008,0.007,-0.02
-0.012,0,0.001
